web-scraper-order,web-scraper-start-url,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
1607597221-22,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,George Arias,won UD,orthodox,34,   194cm,   202cm,20,1,0,11,11,,41,orthodox,,5′ 11½″   /   181cm,56,13,0,42,"Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 2"
1607597152-6,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Isossa Mondo,won RTD,orthodox,28,   194cm,   202cm,5,0,0,3,11,383,30,orthodox,,,3,2,0,2,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12"
1607597229-24,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Dereck Chisora,won SD,orthodox,32,   187cm,   188cm,25,5,0,17,9,11,35,orthodox,79½″   /   202cm,6′ 4½″   /   194cm,22,1,0,12,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12"
1607597225-23,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Maurice Harris,won KO,orthodox,34,   194cm,   202cm,21,1,0,11,11,,39,orthodox,80″   /   203cm,6′ 4″   /   193cm,26,20,3,11,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 9"
1607597208-19,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Joey Abell,won RTD,orthodox,32,   194cm,   202cm,18,0,0,9,11,131,32,southpaw,76″   /   193cm,6′ 4″   /   193cm,29,6,0,28,"Kubrat Pulev
    
      
      
    
                    
won KO
        
round 11"
1607597251-29,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Rydell Booker,won UD,orthodox,38,   194cm,   202cm,27,1,0,14,11,160,38,orthodox,79″   /   201cm,6′ 3″   /   191cm,26,2,0,13,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 6"
1607597195-16,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Alexander Dimitrenko,won KO,orthodox,29,   201cm,   208cm,32,1,0,21,56,11,31,orthodox,79½″   /   202cm,6′ 4½″   /   194cm,15,0,0,7,"Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8"
1607597238-26,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Kevin Johnson,won UD,orthodox,35,   194cm,   202cm,24,1,0,13,11,97,37,orthodox,82″   /   208cm,6′ 3″   /   191cm,30,7,1,14,"Kubrat Pulev
    
      
      
    
                    
won KO
        
round 1"
1607597182-13,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Maksym Pedyura,won UD,orthodox,30,   194cm,   202cm,12,0,0,6,11,635,33,orthodox,77″   /   196cm,6′ 4½″   /   194cm,13,1,1,11,"Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 5"
1607597143-4,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Zack Page,won UD,orthodox,28,   194cm,   202cm,3,0,0,2,11,,36,orthodox,,6′ 0″   /   183cm,19,25,2,7,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 3"
1607597204-18,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Tony Thompson,won UD,orthodox,32,   194cm,   202cm,17,0,0,9,11,,41,southpaw,81½″   /   207cm,6′ 5″   /   196cm,38,3,0,26,"Kubrat Pulev
    
      
      
    
                    
won DQ
        
round 7"
1607597173-11,https://boxrec.com/en/proboxer/511850,Kubrat Pulev,Yaroslav Zavorotnyi,won UD,orthodox,29,   194cm,   202cm,10,0,0,5,11,,36,orthodox,75″   /   191cm,6′ 4″   /   193cm,14,5,0,12,"Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 3"
