"","X","f_boxer","s_boxer","f_boxer_result","f_boxer_stance","f_boxer_age","f_boxer_height","f_boxer_reach","f_boxer_won","f_boxer_lost","f_boxer_drawn","f_boxer_KOs","f_boxer_ranking","s_boxer_ranking","s_boxer_age","s_boxer_stance","s_boxer_reach","s_boxer_height","s_boxer_won","s_boxer_lost","s_boxer_drawn","s_boxer_KOs","s_boxer_result","matchRounds","fightEnd"
"1",1,"Kubrat Pulev","Danny Batchelder","won","orthodox","28",194,202,6,0,0,"4",2,24,"33","orthodox",191,"185",25,7,1,"12","lost",2,"KO/TKO"
"2",2,"Kubrat Pulev","Kevin Johnson","won","orthodox","35",194,202,24,1,0,"13",2,23,"37","orthodox",208,"191",30,7,1,"14","lost",2,"UD"
"3",3,"Kubrat Pulev","Tony Thompson","won","orthodox","32",194,202,17,0,0,"9",2,24,"41","southpaw",207,"196",38,3,0,"26","lost",2,"UD"
"4",4,"Kubrat Pulev","Michael Sprott","won","orthodox","30",194,202,14,0,0,"6",2,24,"36","orthodox",199.414634146341,"187",36,17,0,"17","lost",9,"RTD"
"5",5,"Kubrat Pulev","Alexander Ustinov","won","orthodox","31",194,202,16,0,0,"8",2,22,"35","orthodox",199.414634146341,"202",27,0,0,"21","lost",1,"KO/TKO"
"6",6,"Kubrat Pulev","Gbenga Oluokun","won","orthodox","28",194,202,2,0,0,"2",2,24,"26","orthodox",199.414634146341,"185",17,2,0,"10","lost",6,"UD"
"7",7,"Kubrat Pulev","George Arias","won","orthodox","34",194,202,20,1,0,"11",2,24,"41","orthodox",199.414634146341,"181",56,13,0,"42","lost",8,"UD"
"8",8,"Kubrat Pulev","Maurice Harris","won","orthodox","34",194,202,21,1,0,"11",2,24,"39","orthodox",203,"193",26,20,3,"11","lost",1,"KO/TKO"
"9",9,"Kubrat Pulev","Derric Rossy","won","orthodox","30",194,202,11,0,0,"5",2,24,"30","orthodox",194,"191",25,3,0,"14","lost",5,"KO/TKO"
"10",10,"Kubrat Pulev","Ivica Perkovic","won","orthodox","32",194,202,19,0,0,"10",2,24,"39","orthodox",193,"193",20,23,0,"15","lost",3,"RTD"
"11",11,"Kubrat Pulev","Evgeny Orlov","won","orthodox","28",194,202,7,0,0,"5",2,24,"31","orthodox",199.414634146341,"207",11,6,1,"8","lost",7,"DQ"
"12",12,"Kubrat Pulev","Isossa Mondo","won","orthodox","28",194,202,5,0,0,"3",2,14,"30","orthodox",199.414634146341,NA,3,2,0,"2","lost",3,"RTD"
"13",13,"Kubrat Pulev","Matt Skelton","won","orthodox","28",194,202,4,0,0,"2",2,24,"43","orthodox",199.414634146341,"191",22,4,0,"19","lost",4,"KO/TKO"
"14",14,"Kubrat Pulev","Bogdan Dinu","won","orthodox","37",194,202,26,1,0,"13",2,3,"32","orthodox",199.414634146341,"196",18,1,0,"14","lost",7,"KO/TKO"
"15",15,"Kubrat Pulev","Florian Benche","won","orthodox","28",194,202,0,0,0,"0",2,24,"27","southpaw",199.414634146341,"190",2,3,0,"0","lost",2,"KO/TKO"
"16",16,"Alexander Dimitrenko","Kubrat Pulev","lost","orthodox","29",201,208,32,1,0,"21",4,2,"31","orthodox",202,"194",15,0,0,"7","won",NA,"Unknown"
"17",17,"Kubrat Pulev","Zack Page","won","orthodox","28",194,202,3,0,0,"2",2,24,"36","orthodox",199.414634146341,"183",19,25,2,"7","lost",6,"UD"
"18",18,"Kubrat Pulev","Paolo Vidoz","won","orthodox","29",194,202,9,0,0,"5",2,24,"40","orthodox",199.414634146341,"191",26,9,0,"15","lost",8,"UD"
"19",19,"Wladimir Klitschko","Kubrat Pulev","won","orthodox","38",198,206,62,3,0,"52",6,2,"33","orthodox",202,"194",20,0,0,"11","lost",5,"KO/TKO"
"20",20,"Kubrat Pulev","Maksym Pedyura","won","orthodox","30",194,202,12,0,0,"6",2,19,"33","orthodox",196,"194",13,1,1,"11","lost",8,"UD"
"21",21,"Kubrat Pulev","Joey Abell","won","orthodox","32",194,202,18,0,0,"9",2,4,"32","southpaw",193,"193",29,6,0,"28","lost",4,"RTD"
"22",22,"Kubrat Pulev","Travis Walker","won","orthodox","30",194,202,13,0,0,"6",2,24,"32","orthodox",208,"194",38,6,1,"30","lost",2,"UD"
"23",23,"Kubrat Pulev","Yaroslav Zavorotnyi","won","orthodox","29",194,202,10,0,0,"5",2,24,"36","orthodox",191,"193",14,5,0,"12","lost",8,"UD"
"24",24,"Dereck Chisora","Kubrat Pulev","lost","orthodox","32",187,188,25,5,0,"17",5,2,"35","orthodox",202,"194",22,1,0,"12","won",NA,"Unknown"
"25",25,"Kubrat Pulev","Samuel Peter","won","orthodox","35",194,202,23,1,0,"12",2,7,"36","orthodox",196,"188",36,5,0,"29","lost",3,"RTD"
"26",26,"Kubrat Pulev","Dominick Guinn","won","orthodox","29",194,202,8,0,0,"5",2,8,"35","orthodox",198,"188",33,6,1,"22","lost",8,"UD"
"27",27,"Kubrat Pulev","Hughie Fury","won","orthodox","37",194,202,25,1,0,"13",2,11,"24","orthodox",203,"198",21,1,0,"11","lost",2,"UD"
"28",28,"Kubrat Pulev","Rydell Booker","won","orthodox","38",194,202,27,1,0,"14",2,6,"38","orthodox",201,"191",26,2,0,"13","lost",0,"UD"
"29",29,"Kubrat Pulev","Serdar Uysal","won","orthodox","28",194,202,1,0,0,"1",2,24,"38","southpaw",199.414634146341,NA,9,8,2,"4","lost",4,"KO/TKO"
"30",30,"Tyson Fury","John McDermott","won","orthodox","21",206,216,10,0,0,"8",1,24,"30","orthodox",199.414634146341,"191",25,6,0,"16","lost",9,"KO/TKO"
"31",31,"Tyson Fury","Rich Power","won","orthodox","22",206,216,11,0,0,"9",1,24,"30",NA,199.414634146341,NA,12,0,0,"9","lost",8,"Unknown"
"32",32,"Tyson Fury","Scott Belshaw","won","orthodox","20",206,216,5,0,0,"5",1,24,"23","orthodox",199.414634146341,"201",10,1,0,"7","lost",2,"KO/TKO"
