f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,matchRounds,fightEnd,winner
Kubrat Pulev,Danny Batchelder,won,28.0,194,202.0,6,0,4.0,33.0,185.0,191.0,25,7,12.0,2.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Kevin Johnson,won,35.0,194,202.0,24,1,13.0,37.0,191.0,208.0,30,7,14.0,2.0,UD,Kubrat Pulev
Kubrat Pulev,Tony Thompson,won,32.0,194,202.0,17,0,9.0,41.0,196.0,207.0,38,3,26.0,2.0,UD,Kubrat Pulev
Kubrat Pulev,Michael Sprott,won,30.0,194,202.0,14,0,6.0,36.0,187.0,199.414634146341,36,17,17.0,9.0,RTD,Kubrat Pulev
Kubrat Pulev,Alexander Ustinov,won,31.0,194,202.0,16,0,8.0,35.0,202.0,199.414634146341,27,0,21.0,1.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Gbenga Oluokun,won,28.0,194,202.0,2,0,2.0,26.0,185.0,199.414634146341,17,2,10.0,6.0,UD,Kubrat Pulev
Kubrat Pulev,George Arias,won,34.0,194,202.0,20,1,11.0,41.0,181.0,199.414634146341,56,13,42.0,8.0,UD,Kubrat Pulev
Kubrat Pulev,Maurice Harris,won,34.0,194,202.0,21,1,11.0,39.0,193.0,203.0,26,20,11.0,1.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Derric Rossy,won,30.0,194,202.0,11,0,5.0,30.0,191.0,194.0,25,3,14.0,5.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Ivica Perkovic,won,32.0,194,202.0,19,0,10.0,39.0,193.0,193.0,20,23,15.0,3.0,RTD,Kubrat Pulev
Kubrat Pulev,Evgeny Orlov,won,28.0,194,202.0,7,0,5.0,31.0,207.0,199.414634146341,11,6,8.0,7.0,DQ,Kubrat Pulev
Kubrat Pulev,Matt Skelton,won,28.0,194,202.0,4,0,2.0,43.0,191.0,199.414634146341,22,4,19.0,4.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Bogdan Dinu,won,37.0,194,202.0,26,1,13.0,32.0,196.0,199.414634146341,18,1,14.0,7.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Florian Benche,won,28.0,194,202.0,0,0,0.0,27.0,190.0,199.414634146341,2,3,0.0,2.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Zack Page,won,28.0,194,202.0,3,0,2.0,36.0,183.0,199.414634146341,19,25,7.0,6.0,UD,Kubrat Pulev
Kubrat Pulev,Paolo Vidoz,won,29.0,194,202.0,9,0,5.0,40.0,191.0,199.414634146341,26,9,15.0,8.0,UD,Kubrat Pulev
Wladimir Klitschko,Kubrat Pulev,won,38.0,198,206.0,62,3,52.0,33.0,194.0,202.0,20,0,11.0,5.0,KO/TKO,Wladimir Klitschko
Kubrat Pulev,Maksym Pedyura,won,30.0,194,202.0,12,0,6.0,33.0,194.0,196.0,13,1,11.0,8.0,UD,Kubrat Pulev
Kubrat Pulev,Joey Abell,won,32.0,194,202.0,18,0,9.0,32.0,193.0,193.0,29,6,28.0,4.0,RTD,Kubrat Pulev
Kubrat Pulev,Travis Walker,won,30.0,194,202.0,13,0,6.0,32.0,194.0,208.0,38,6,30.0,2.0,UD,Kubrat Pulev
Kubrat Pulev,Yaroslav Zavorotnyi,won,29.0,194,202.0,10,0,5.0,36.0,193.0,191.0,14,5,12.0,8.0,UD,Kubrat Pulev
Kubrat Pulev,Samuel Peter,won,35.0,194,202.0,23,1,12.0,36.0,188.0,196.0,36,5,29.0,3.0,RTD,Kubrat Pulev
Kubrat Pulev,Dominick Guinn,won,29.0,194,202.0,8,0,5.0,35.0,188.0,198.0,33,6,22.0,8.0,UD,Kubrat Pulev
Kubrat Pulev,Hughie Fury,won,37.0,194,202.0,25,1,13.0,24.0,198.0,203.0,21,1,11.0,2.0,UD,Kubrat Pulev
Kubrat Pulev,Rydell Booker,won,38.0,194,202.0,27,1,14.0,38.0,191.0,201.0,26,2,13.0,0.0,UD,Kubrat Pulev
Tyson Fury,John McDermott,won,21.0,206,216.0,10,0,8.0,30.0,191.0,199.414634146341,25,6,16.0,9.0,KO/TKO,Tyson Fury
Tyson Fury,Scott Belshaw,won,20.0,206,216.0,5,0,5.0,23.0,201.0,199.414634146341,10,1,7.0,2.0,KO/TKO,Tyson Fury
Tyson Fury,Hans-Joerg Blasko,won,21.0,206,216.0,9,0,7.0,36.0,195.0,199.414634146341,9,3,6.0,1.0,KO/TKO,Tyson Fury
Tyson Fury,Steve Cunningham,won,24.0,206,216.0,20,0,14.0,36.0,190.0,208.0,25,5,12.0,7.0,KO/TKO,Tyson Fury
Tyson Fury,Christian Hammer,won,26.0,206,216.0,23,0,17.0,27.0,189.0,198.0,17,3,10.0,8.0,RTD,Tyson Fury
Tyson Fury,Neven Pajkic,won,23.0,206,216.0,16,0,11.0,34.0,191.0,199.414634146341,16,0,5.0,3.0,KO/TKO,Tyson Fury
Tyson Fury,Mathew Ellis,won,20.0,206,216.0,4,0,4.0,35.0,182.0,199.414634146341,20,6,9.0,1.0,KO/TKO,Tyson Fury
Tyson Fury,Otto Wallin,won,31.0,206,216.0,28,0,20.0,28.0,197.0,198.0,20,0,13.0,2.0,UD,Tyson Fury
Tyson Fury,Bela Gyongyosi,won,20.0,206,216.0,0,0,0.0,22.0,192.0,199.414634146341,3,9,1.0,1.0,KO/TKO,Tyson Fury
Tyson Fury,Marcelo Nascimento,won,22.0,206,216.0,13,0,9.0,30.0,196.0,199.414634146341,13,0,11.0,5.0,KO/TKO,Tyson Fury
Tyson Fury,Kevin Johnson,won,24.0,206,216.0,19,0,14.0,33.0,191.0,208.0,28,2,13.0,2.0,UD,Tyson Fury
Tyson Fury,Nicolai Firtha,won,23.0,206,216.0,15,0,10.0,32.0,198.0,199.414634146341,20,8,8.0,5.0,KO/TKO,Tyson Fury
Tyson Fury,Tom Schwarz,won,30.0,206,216.0,27,0,19.0,25.0,197.0,199.414634146341,24,0,16.0,2.0,KO/TKO,Tyson Fury
Tyson Fury,Francesco Pianeta,won,30.0,206,216.0,26,0,19.0,33.0,196.0,203.0,35,4,21.0,0.0,Unknown,Tyson Fury
Tyson Fury,Daniil Peretyatko,won,20.0,206,216.0,2,0,2.0,35.0,183.0,199.414634146341,15,20,6.0,2.0,RTD,Tyson Fury
