f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,matchRounds,fightEnd,winner
Mike Tyson, Jake Paul, null, 58, 178, 180, 50, 6, 44, 27, 185, 193, 10, 1, 7, 8, null, null
Artur Beterbiev,Dmitrii Bivol,null,39,182,185,20,0,20,33,183,183,23,0,12,null,null,null
Katie Taylor,Amanda Serrano,null,38,165,168,23,1,6,36,166,166,47,2,31,null,null,null
Mario Barrios,Abel Ramos,null,29,183,180,28,2,18,33,175,175,28,5,22,null,null,null
Oscar Alan Perez, Cristian Medina Garcia, null, 24, 170, null, 11, 0, null, 24, null, null, 8, null, null
Giovanni Marquez, Cristian Dominguez, null, 23, 175, 175, 11, 0, null, 33, 170, null, 8, null, null
Jaime Munguia, Bruno Surace, null, 28, 183, 183, 44, 1, null, 26, 183, null, 10, null, null
Sukhdeep Singh Bhatti, Uisma Lima, null, 32, null, null, 19, 0, null, 31, null, null, 12, null, null
Sara Bailey, Anabel Ortiz, null, 30, 162, 159, 4, 0, null, 38, 153, null, 10, null, null
Yuri Sakunts, Elvin Ganbarov, null, 28, 181, null, 12, 0, null, 32, null, null, 12, null, null
Igor Semernin, Samvel Eganyan, null, 24, 185, null, 6, 1, null, 21, 176, null, 10, null, null
Dmitry Zagrebin, Daniil Seregin, null, 31, 183, null, 1, 1, null, 23, 180, null, 6, null, null
Igor Tikhonov, Ilya Alexeenko, null, 30, 177, null, 3, 2, null, 25, 173, null, 6, null, null
Ardreal Holmes Jr, Edwine Humaine Junior, null, 30, 188, 189, 16, 0, null, 24, 170, null, 10, null, null
Joseph Spencer, Miguel Angel Hernandez, null, 24, 178, 178, 18, 0, 10, 26, 180, 178, 9, 0, 0, 10, null, null
Brandon Carmack, Matt Foster, null, 32, 193, null, 7, 6, 3, 39, 183, null, 1, 5, 0, 6, null, null
John Cantrell, Robby Mendez, null, 35, 188, null, 11, 1, 1, 45, 183, null, 7, 3, 0, 6, null, null
Russell Harris, Randolph Shaw, null, 33, 173, null, 3, 1, 0, 35, 201, null, 0, 1, 0, 4, null, null
Jonhatan Cardoso, Eduardo Ramirez, null, 25, 175, 184, 17, 1, 0, 31, 170, 178, 28, 4, 3, 10, null, null
Katsuma Akitsugi, Aston Palicte, null, 27, 168, null, 11, 0, 0, 33, 175, 176, 28, 6, 1, 10, null, null
Dante Benjamin, Aaron Casper, null, 22, 183, 202, 9, 0, 1, 35, 180, null, 7, 7, 2, 6, null, null
Drake Banks, Cashton Young, null, 24, 193, null, 6, 0, 0, 34, 185, null, 3, 4, 1, 6, null, null
Mikahail Hernandez Hernandez, Carlos Andre Dos Santos Rocha, null, 27, 173, 171, 5, 1, 0, 30, 167, null, 3, 6, 0, 4, null, null
Hugo Amador Mendez, Edwin Tercero, null, 19, 173, null, 1, 0, 0, 35, null, null, 16, 27, 1, 4, null, null ​
