f_boxer,s_boxer,f_boxer_result,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_KOs,s_boxer_age,s_boxer_height,s_boxer_reach,s_boxer_won,s_boxer_lost,s_boxer_KOs,matchRounds,fightEnd,winner
Danny Batchelder,Kubrat Pulev,lost,33,185.0,191.0,25,7,12,28,194,202.0,6,0,4,2.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Kevin Johnson,won,35,194,202.0,24,1,13,37,191.0,208.0,30,7,14,2.0,UD,Kubrat Pulev
Tony Thompson,Kubrat Pulev,lost,41,196.0,207.0,38,3,26,32,194,202.0,17,0,9,2.0,UD,Kubrat Pulev
Michael Sprott,Kubrat Pulev,lost,36,187.0,199.4,36,17,17,30,194,202.0,14,0,6,9.0,RTD,Kubrat Pulev
Alexander Ustinov,Kubrat Pulev,lost,35,202.0,199.4,27,0,21,31,194,202.0,16,0,8,1.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Gbenga Oluokun,won,28,194,202.0,2,0,2,26,185.0,199.4,17,2,10,6.0,UD,Kubrat Pulev
George Arias,Kubrat Pulev,lost,41,181.0,199.4,56,13,42,34,194,202.0,20,1,11,8.0,UD,Kubrat Pulev
Kubrat Pulev,Maurice Harris,won,34,194,202.0,21,1,11,39,193.0,203.0,26,20,11,1.0,KO/TKO,Kubrat Pulev
Derric Rossy,Kubrat Pulev,lost,30,191.0,194.0,25,3,14,30,194,202.0,11,0,5,5.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Ivica Perkovic,won,32,194,202.0,19,0,10,39,193.0,193.0,20,23,15,3.0,RTD,Kubrat Pulev
Evgeny Orlov,Kubrat Pulev,lost,31,207.0,199.4,11,6,8,28,194,202.0,7,0,5,7.0,DQ,Kubrat Pulev
Matt Skelton,Kubrat Pulev,lost,43,191.0,199.4,22,4,19,28,194,202.0,4,0,2,4.0,KO/TKO,Kubrat Pulev
Kubrat Pulev,Bogdan Dinu,won,37,194,202.0,26,1,13,32,196.0,199.4,18,1,14,7.0,KO/TKO,Kubrat Pulev
Florian Benche,Kubrat Pulev,lost,27,190.0,199.4,2,3,0,28,194,202.0,0,0,0,2.0,KO/TKO,Kubrat Pulev
