web-scraper-order,web-scraper-start-url,MatchLink,MatchLink-href,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
"1607599299-95","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/700471/1926005","Anthony Joshua","Michael Sprott","won TKO","orthodox","25","6′ 6″   /   198cm","82″   /   208cm","9","0","0","9","3","","39","orthodox","","6′ 1½″   /   187cm","42","22","0","17","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 1"
"1607599320-99","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/717550/1994274","Anthony Joshua","Gary Cornish","won TKO","orthodox","25","6′ 6″   /   198cm","82″   /   208cm","13","0","0","13","3","","28","orthodox","","6′ 7″   /   201cm","21","0","0","12","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 1"
"1607599252-86","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/676106/1819680","Anthony Joshua","Emanuele Leo","won TKO","orthodox","23","6′ 6″   /   198cm","82″   /   208cm","0","0","0","0","3","","32","orthodox","","6′ 3″   /   191cm","8","0","0","3","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 1"
"1607599360-106","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/763401/2219533","Anthony Joshua","Joseph Parker","won UD","orthodox","28","6′ 6″   /   198cm","82″   /   208cm","20","0","0","20","3","12","26","orthodox","76″   /   193cm","6′ 4″   /   193cm","24","0","0","18","Anthony Joshua
    
      
      
    
                    
won UD
        
round 12"
"1607599341-103","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/739456/2104566","Anthony Joshua","Eric Molina","won TKO","orthodox","27","6′ 6″   /   198cm","82″   /   208cm","17","0","0","17","3","91","34","orthodox","79″   /   201cm","6′ 4″   /   193cm","25","3","0","19","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 3"
"1607599370-108","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/783702/2327776","Anthony Joshua","Andy Ruiz Jr","won TKO","orthodox","29","6′ 6″   /   198cm","82″   /   208cm","22","0","0","21","3","6","29","orthodox","74″   /   188cm","6′ 2″   /   188cm","32","1","0","21","Anthony Joshua"
"1607599330-101","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/725429/2031991","Charles Martin","Anthony Joshua","won KO","southpaw","29","6′ 5″   /   196cm","80″   /   203cm","23","0","1","21","16","3","26","orthodox","82″   /   208cm","6′ 6″   /   198cm","15","0","0","15","Charles Martin"
"1607599309-97","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/708071/1971659","Anthony Joshua","Raphael Zumbano","won TKO","orthodox","25","6′ 6″   /   198cm","82″   /   208cm","11","0","0","11","3","426","34","orthodox","75″   /   191cm","6′ 4″   /   193cm","36","10","1","28","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 2"
"1607599262-88","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/680974/1841397","Anthony Joshua","Hrvoje Kisicek","won TKO","orthodox","24","6′ 6″   /   198cm","82″   /   208cm","2","0","0","2","3","","33","orthodox","","","5","6","0","1","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 2"
"1607599272-90","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/684709/1859798","Anthony Joshua","Hector Alfredo Avila","won KO","orthodox","24","6′ 6″   /   198cm","82″   /   208cm","4","0","0","4","3","","38","orthodox","","6′ 1″   /   185cm","22","15","1","14","Anthony Joshua
    
      
      
    
                    
won KO
        
round 1"
"1607599314-98","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/711715/1965503","Anthony Joshua","Kevin Johnson","won TKO","orthodox","25","6′ 6″   /   198cm","82″   /   208cm","12","0","0","12","3","97","35","orthodox","82″   /   208cm","6′ 3″   /   191cm","29","6","1","14","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 2"
"1607599257-87","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/676197/1820041","Anthony Joshua","Paul Butlin","won TKO","orthodox","24","6′ 6″   /   198cm","82″   /   208cm","1","0","0","1","3","","37","orthodox","","6′ 1½″   /   187cm","14","19","0","3","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 2"
"1607599365-107","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/772366/2263530","Anthony Joshua","Alexander Povetkin","won TKO","orthodox","28","6′ 6″   /   198cm","82″   /   208cm","21","0","0","20","3","4","39","orthodox","75″   /   191cm","6′ 2″   /   188cm","34","1","0","24","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 7"
"1607599278-91","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/687121/1878516","Anthony Joshua","Matt Legg","won KO","orthodox","24","6′ 6″   /   198cm","82″   /   208cm","5","0","0","5","3","","38","orthodox","","6′ 2″   /   188cm","7","2","0","3","Anthony Joshua
    
      
      
    
                    
won KO
        
round 1"
"1607599267-89","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/683580/1852523","Anthony Joshua","Dorian Darch","won TKO","orthodox","24","6′ 6″   /   198cm","82″   /   208cm","3","0","0","3","3","","29","orthodox","","6′ 0″   /   183cm","7","2","0","1","Anthony Joshua
    
      
      
    
                    
won TKO
        
round 2"
"1607599375-109","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/793925/2383348","Andy Ruiz Jr","Anthony Joshua","won UD","orthodox","30","6′ 2″   /   188cm","74″   /   188cm","33","1","0","22","6","3","30","orthodox","82″   /   208cm","6′ 6″   /   198cm","22","1","0","21","Andy Ruiz Jr"
"1607599304-96","https://boxrec.com/en/proboxer/659461","bout","https://boxrec.com/en/event/705660/1944991","Anthony Joshua","Jason Gavern","won KO","orthodox","25","6′ 6″   /   198cm","82″   /   208cm","10","0","0","10","3","","37","orthodox","76″   /   193cm","6′ 2″   /   188cm","26","19","4","11","Anthony Joshua
    
      
      
    
                    
won KO
        
round 3"
