web-scraper-order,web-scraper-start-url,MatchLink,MatchLink-href,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
"1607603384-151","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/7960/12003","Wladimir Klitschko","James Pritchard","won TKO","6′ 6″   /   198cm","orthodox","81″   /   206cm","","11","0","0","","32.92
points",".438
points","orthodox","6′ 0″   /   183cm","","74″   /   188cm","30","16","2","","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3"
"1607603540-198","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/619703/1591605","Wladimir Klitschko","David Haye","won UD","orthodox","35","6′ 6″   /   198cm","81″   /   206cm","55","3","0","48","","","30","orthodox","78″   /   198cm","6′ 3″   /   191cm","25","1","0","23","Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12"
"1607603478-180","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/254938/461276","Wladimir Klitschko","Jameel McCline","won RTD","orthodox","26","6′ 6″   /   198cm","81″   /   206cm","39","1","0","35","","","32","orthodox","82″   /   208cm","6′ 6″   /   198cm","28","2","3","16","Wladimir Klitschko
    
      
      
    
                    
won RTD
        
round 10"
"1607603556-203","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/672143/1802390","Wladimir Klitschko","Alexander Povetkin","won UD","orthodox","37","6′ 6″   /   198cm","81″   /   206cm","60","3","0","51","","4","34","orthodox","75″   /   191cm","6′ 2″   /   188cm","26","0","0","18","Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12"
"1607603553-202","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/666897/1781609","Wladimir Klitschko","Francesco Pianeta","won TKO","orthodox","37","6′ 6″   /   198cm","81″   /   206cm","59","3","0","50","","","28","southpaw","80″   /   203cm","6′ 5″   /   196cm","28","0","1","15","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6"
"1607603566-206","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/705549/1942392","Wladimir Klitschko","Bryant Jennings","won UD","orthodox","39","6′ 6″   /   198cm","81″   /   206cm","63","3","0","53","","23","30","orthodox","84″   /   213cm","6′ 3″   /   191cm","19","0","0","10","Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12"
"1607603459-174","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/17203/24637","Wladimir Klitschko","Monte Barrett","won TKO","orthodox","24","6′ 6″   /   198cm","81″   /   206cm","33","1","0","30","","","29","orthodox","78″   /   198cm","6′ 3″   /   191cm","23","1","0","14","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 7"
"1607603413-160","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/8377/12713","Wladimir Klitschko","Carlos Monroe","won TKO","orthodox","22","6′ 6″   /   198cm","81″   /   206cm","20","0","0","17","","","33","orthodox","80½″   /   204cm","6′ 6″   /   198cm","11","6","0","7","Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6"
"1607603520-192","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/539403/1243536","Wladimir Klitschko","Sultan Ibragimov","won UD","orthodox","31","6′ 6″   /   198cm","81″   /   206cm","49","3","0","43","","","32","southpaw","76″   /   193cm","6′ 2″   /   188cm","22","0","1","17","Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12"
"1607603543-199","https://boxrec.com/en/proboxer/7035","bout","https://boxrec.com/en/event/631939/1642986","Wladimir Klitschko","Jean Marc Mormeck","won KO","orthodox","35","6′ 6″   /   198cm","81″   /   206cm","56","3","0","48","","","39","orthodox","74″   /   188cm","5′ 11½″   /   181cm","36","4","0","22","Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 4"
