web-scraper-order,web-scraper-start-url,MatchLink,MatchLink-href,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
"1607598432-63","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/593839/1494960","Kubrat Pulev","Danny Batchelder","won TKO","orthodox","28","6′ 4½″   /   194cm","79½″   /   202cm","6","0","0","4","11","","33","orthodox","75″   /   191cm","6′ 1″   /   185cm","25","7","1","12","Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 2"
"1607598516-82","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/748362/2150155","Kubrat Pulev","Kevin Johnson","won UD","orthodox","35","6′ 4½″   /   194cm","79½″   /   202cm","24","1","0","13","11","97","37","orthodox","82″   /   208cm","6′ 3″   /   191cm","30","7","1","14","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12"
"1607598482-74","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/672946/1819945","Kubrat Pulev","Tony Thompson","won UD","orthodox","32","6′ 4½″   /   194cm","79½″   /   202cm","17","0","0","9","11","","41","southpaw","81½″   /   207cm","6′ 5″   /   196cm","38","3","0","26","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 12"
"1607598469-71","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/631859/1649515","Kubrat Pulev","Michael Sprott","won RTD","orthodox","30","6′ 4½″   /   194cm","79½″   /   202cm","14","0","0","6","11","","36","orthodox","","6′ 1½″   /   187cm","36","17","0","17","Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 9"
"1607598478-73","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/649483/1723076","Kubrat Pulev","Alexander Ustinov","won KO","orthodox","31","6′ 4½″   /   194cm","79½″   /   202cm","16","0","0","8","11","83","35","orthodox","","6′ 7½″   /   202cm","27","0","0","21","Kubrat Pulev
    
      
      
    
                    
won KO
        
round 11"
"1607598415-59","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/581916/1462780","Kubrat Pulev","Gbenga Oluokun","won UD","orthodox","28","6′ 4½″   /   194cm","79½″   /   202cm","2","0","0","2","11","","26","orthodox","","6′ 1″   /   185cm","17","2","0","10","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 6"
"1607598499-78","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/720484/2013540","Kubrat Pulev","George Arias","won UD","orthodox","34","6′ 4½″   /   194cm","79½″   /   202cm","20","1","0","11","11","","41","orthodox","","5′ 11½″   /   181cm","56","13","0","42","Kubrat Pulev
    
      
      
    
                    
won UD
        
round 8"
"1607598503-79","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/721944/2028553","Kubrat Pulev","Maurice Harris","won KO","orthodox","34","6′ 4½″   /   194cm","79½″   /   202cm","21","1","0","11","11","","39","orthodox","80″   /   203cm","6′ 4″   /   193cm","26","20","3","11","Kubrat Pulev
    
      
      
    
                    
won KO
        
round 1"
"1607598453-68","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/611705/1590323","Kubrat Pulev","Derric Rossy","won TKO","orthodox","30","6′ 4½″   /   194cm","79½″   /   202cm","11","0","0","5","11","","30","orthodox","76½″   /   194cm","6′ 3″   /   191cm","25","3","0","14","Kubrat Pulev
    
      
      
    
                    
won TKO
        
round 5"
"1607598491-76","https://boxrec.com/en/proboxer/511850","bout","https://boxrec.com/en/event/686742/1876331","Kubrat Pulev","Ivica Perkovic","won RTD","orthodox","32","6′ 4½″   /   194cm","79½″   /   202cm","19","0","0","10","11","","39","orthodox","76″   /   193cm","6′ 4″   /   193cm","20","23","0","15","Kubrat Pulev
    
      
      
    
                    
won RTD
        
round 3"
