web-scraper-order,web-scraper-start-url,MatchLink,MatchLink-href,f_boxer,s_boxer,f_boxer_result,f_boxer_stance,f_boxer_age,f_boxer_height,f_boxer_reach,f_boxer_won,f_boxer_lost,f_boxer_drawn,f_boxer_KOs,f_boxer_ranking,s_boxer_ranking,s_boxer_age,s_boxer_stance,s_boxer_reach,s_boxer_height,s_boxer_won,s_boxer_lost,s_boxer_drawn,s_boxer_KOs,rounds
"1607599551-120","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/601301/1517257","Tyson Fury","John McDermott","won TKO","orthodox","21","6′ 9″   /   206cm","85″   /   216cm","10","0","0","8","1","","30","orthodox","","6′ 3″   /   191cm","25","6","0","16","Tyson Fury
    
      
      
    
                    
won TKO
        
round 9"
"1607599556-121","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/605434/1534033","Tyson Fury","Rich Power","won PTS","orthodox","22","6′ 9″   /   206cm","85″   /   216cm","11","0","0","9","1","","30","","","","12","0","0","9","Tyson Fury
    
      
      
    
                    
won PTS
        
round 8"
"1607599523-115","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/574576/1412302","Tyson Fury","Scott Belshaw","won TKO","orthodox","20","6′ 9″   /   206cm","85″   /   216cm","5","0","0","5","1","","23","orthodox","","6′ 7″   /   201cm","10","1","0","7","Tyson Fury
    
      
      
    
                    
won TKO
        
round 2"
"1607599545-119","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/596021/1499125","Tyson Fury","Hans-Joerg Blasko","won TKO","orthodox","21","6′ 9″   /   206cm","85″   /   216cm","9","0","0","7","1","","36","orthodox","","6′ 5″   /   195cm","9","3","0","6","Tyson Fury
    
      
      
    
                    
won TKO
        
round 1"
"1607599606-130","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/666062/1778780","Tyson Fury","Steve Cunningham","won KO","orthodox","24","6′ 9″   /   206cm","85″   /   216cm","20","0","0","14","1","","36","orthodox","82″   /   208cm","6′ 3″   /   190cm","25","5","0","12","Tyson Fury
    
      
      
    
                    
won KO
        
round 7"
"1607599622-133","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/705496/1942244","Tyson Fury","Christian Hammer","won RTD","orthodox","26","6′ 9″   /   206cm","85″   /   216cm","23","0","0","17","1","44","27","orthodox","78″   /   198cm","6′ 2½″   /   189cm","17","3","0","10","Tyson Fury
    
      
      
    
                    
won RTD
        
round 8"
"1607599584-126","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/629002/1630025","Tyson Fury","Neven Pajkic","won TKO","orthodox","23","6′ 9″   /   206cm","85″   /   216cm","16","0","0","11","1","","34","orthodox","","6′ 3″   /   191cm","16","0","0","5","Tyson Fury
    
      
      
    
                    
won TKO
        
round 3"
"1607599617-132","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/699689/1921854","Dereck Chisora","Tyson Fury","won RTD","orthodox","30","6′ 1½″   /   187cm","74″   /   188cm","20","4","0","13","9","1","26","orthodox","85″   /   216cm","6′ 9″   /   206cm","22","0","0","16","Dereck Chisora"
"1607599628-134","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/721333/2012278","Wladimir Klitschko","Tyson Fury","won UD","orthodox","39","6′ 6″   /   198cm","81″   /   206cm","64","3","0","53","","1","27","orthodox","85″   /   216cm","6′ 9″   /   206cm","24","0","0","18","Wladimir Klitschko"
"1607599518-114","https://boxrec.com/en/proboxer/479205","bout","https://boxrec.com/en/event/571299/1399933","Tyson Fury","Mathew Ellis","won KO","orthodox","20","6′ 9″   /   206cm","85″   /   216cm","4","0","0","4","1","","35","orthodox","","5′ 11½″   /   182cm","20","6","1","9","Tyson Fury
    
      
      
    
                    
won KO
        
round 1"
